lha eincome eeducation elabour ha pyr n_hosp
7 11.4 20 65.2 1 13839 606
9 10.1 18 63.5 1 13870 604
11 7.3 19.1 60.6 1 14288 629
14 9.7 25.8 49.7 1 13772 1078
15 11.8 19 54.7 1 13235 790
16 19.9 24.3 48.3 1 6143 650
17 14.3 42.1 55.9 1 7811 957
20 10 23 58.8 1 13565 736
21 10.4 26.7 64.3 1 10901 571
22 11.7 24.6 60 1 5763 337
24 11.8 28.1 65.7 1 11664 683
26 8 33.2 69.8 1 8322 431
27 11.7 41.4 71.9 1 11883 830
32 15.4 30.6 60.2 2 14864 3133
33 12.6 32 62 2 8206 1522
34 10.9 20.9 67 2 6213 704
35 9.2 18.7 70.2 2 11696 1124
37 8.7 13 69.1 2 5530 461
38 22.1 6.3 63.3 3 10262 1580
40 16.2 20.6 66.9 2 12082 1605
41 22.6 15 62.5 2 8169 1331
42 12.1 21.7 69.6 2 11507 1329
43 16.3 6.5 69.5 2 13247 1041
44 11.5 12 70.4 3 10231 1140
45 7.8 0 59 3 8111 801
46 10.4 31.4 59.1 3 8128 2099
47 10.5 28.5 57.3 3 7622 1947
48 6.6 30.4 79 3 14982 1902
61 10.9 34.5 64.2 4 9341 1100
62 9.1 33.6 70.3 4 8728 749
63 4.1 13.8 59.9 4 8018 433
64 8.1 29.6 57.3 4 13587 1613
65 10.5 21.7 61.5 4 9284 796
66 15.2 37.9 58.8 4 5123 869
67 8.8 26.5 58.9 4 11149 1137
68 14 31 61.2 4 9576 1183
69 9 33 50.9 4 9562 1530
70 13 40.9 61.2 4 7293 1164
71 11 31.4 61.5 4 6878 782
72 13.8 28.9 66.6 4 5226 478
75 12.1 26.2 66.1 2 9280 1363
76 11.5 51.4 60.7 2 5421 1954
78 16.6 18.5 56.6 1 7729 483
83 9.5 25.2 66.9 3 7189 1267
161 16 52.7 73 3 6216 2420
162 33.6 39.2 60.5 3 13058 8496
163 24.6 24 61.7 3 8778 2753
164 12.5 19.7 66.8 3 6899 1061
165 23.6 29.1 67.8 3 6891 1929
166 25.7 9.6 59 3 7860 1633
201 18.1 21.8 68.4 2 13787 1950
202 6.1 18.6 59.1 2 5043 599
